iter	Passed	Remaining
946	2156	120
947	2158	118
948	2160	116
949	2162	113
950	2164	111
951	2166	109
952	2168	106
953	2170	104
954	2174	102
955	2176	100
956	2178	97
957	2180	95
958	2182	93
959	2184	91
960	2186	88
961	2188	86
962	2190	84
963	2193	81
964	2198	79
965	2202	77
966	2206	75
967	2208	72
968	2210	70
969	2212	68
970	2216	66
971	2218	63
972	2220	61
973	2222	59
974	2224	57
975	2226	54
976	2228	52
977	2230	50
978	2232	47
979	2234	45
980	2238	43
981	2240	41
982	2242	38
983	2244	36
984	2247	34
985	2250	31
986	2252	29
987	2254	27
988	2256	25
989	2259	22
990	2261	20
991	2263	18
992	2265	15
993	2267	13
994	2269	11
995	2272	9
996	2274	6
997	2276	4
998	2278	2
999	2281	0
